Mom.Squirrel.ID,Offspring.Growth.Rate,Previous.Year.Cones,Current.Year.Cones,Corrected.FCM.ng.g.dry,scaled.parturition.date,scaled.litter.size
6440664407,1.631578947,0.775111227,1.746,-0.618859775,1.324598366,-0.164131777
6260364603,1.686956522,0.236200568,0.90047,1.603696515,-1.855927958,2.284167225
6265060936,2.052631579,0.236200568,0.90047,0.9787139,-1.650732711,-1.388281277
4821948220,1.61,0.775111227,1.746,-0.552598517,0.144725698,1.060017724
649430,1.234375,0.236200568,0.90047,1.228763698,-0.983848159,1.060017724
10216562998,1.34,0.236200568,0.90047,1.951375526,-1.189043406,1.060017724
10210461967,1.507936508,0.236200568,0.90047,-0.200734356,-0.727354101,-0.164131777
6436162198,1.969318173,1.746,5.129,-0.262763834,-0.63112541,0.128564086
6436162198,1.969318173,1.746,5.129,0.491310681,-0.63112541,0.128564086
1.02E+11,1.233548355,1.016,4.992,-0.124344146,-0.988445994,1.068688961
4842846795,2.080701761,1.016,4.992,-1.121029049,-1.098390789,-0.81156079
4998749988,1.383333375,1.746,5.129,0.392275963,-0.988445994,0.128564086
4998749988,1.383333375,1.746,5.129,0.862296631,-0.988445994,0.128564086
6398463985,0.944791655,1.746,5.129,0.686205717,-0.026429037,0.128564086
6440164409,2.225925964,1.746,5.129,-0.593957804,-0.988445994,-0.81156079
6440164409,2.225925964,1.746,5.129,0.695580065,-0.988445994,-0.81156079
6440164409,2.225925964,1.746,5.129,1.593569419,-0.988445994,-0.81156079
6516665167,1.45312501,1.746,5.129,-0.023892286,0.275919149,0.128564086
6358465921,2.23015876,0.90047,3.7402,0.472223315,-0.438722019,-0.81156079
4911849119,1.40625,0.90047,3.7402,-0.405729283,-1.345766578,0.128564086
6409864099,0.842391325,0.90047,3.7402,0.29869813,-0.218832429,0.128564086
8008980090,1.925,3.7402,0.012773317,0.589730553,-0.945882055,0.476865201
6845168452,1.633824,4.992,0.018714394,1.965133742,-0.326849297,0.476865201
6837868379,1.826923,4.992,0.018714394,1.381593404,-0.481607486,-0.739627659
6837868379,1.826923,4.992,0.018714394,0.926893671,-0.481607486,-0.739627659
6652866529,1.7375,3.7402,0.012773317,1.607354075,-0.017332917,0.476865201
6335763358,1.386,3.7402,0.012773317,0.444166784,0.524320747,0.476865201
6335763358,1.386,3.7402,0.012773317,-0.363969348,0.524320747,0.476865201
6250062499,1.677,5.129,0.016503504,0.627878198,-1.642293909,0.476865201
6705367054,2.4025,4.992,0.018714394,0.878078333,1.530248979,-0.739627659
6193061931,2.226,3.7402,0.012773317,0.672598481,-1.564914814,0.476865201
6662866629,2.43,5.129,0.016503504,1.181311755,-0.326849297,-0.739627659
6095160952,1.0928,3.7402,0.012773317,-0.377171318,-0.558986581,-0.739627659
6475562766,1.130682,3.7402,0.012773317,0.641237709,-0.249470202,0.476865201
6528465262,0.607619,3.7402,0.012773317,1.050493733,0.292183462,1.693358061
6528465262,0.607619,3.7402,0.012773317,0.764994288,0.292183462,1.693358061
4884849285,1.651852,3.7402,0.012773317,-0.03812111,0.524320747,-0.739627659
4884849285,1.651852,3.7402,0.012773317,-0.199835113,0.524320747,-0.739627659
6517065171,1.453261,5.129,0.016503504,0.158441845,-0.404228391,0.476865201
6641266413,2.08,3.7402,0.012773317,0.789695738,-0.017332917,-1.956120519
6641266413,2.08,3.7402,0.012773317,0.905030441,-0.017332917,-1.956120519
4890748908,1.878947,3.7402,0.012773317,0.293799607,-0.481607486,0.476865201
4890748908,1.878947,3.7402,0.012773317,1.400797175,-0.481607486,0.476865201
6653566536,2.130159,3.7402,0.012773317,1.223503977,-0.172091107,-0.739627659
6653566536,2.130159,3.7402,0.012773317,1.458766791,-0.172091107,-0.739627659
