year,site,id,substrate,treatment,NEP,CR,CR.corr,CR.corr.no0,GPP,GPP.corr,GPP.corr.no0,Chl,Chl.corr,Chl.corr.no0
2013,Site 3,10,Glass,H,-2.167866492,-2.451591457,2.451601457,2.451601457,0.283724965,0.283734965,0.283734965,0.166935851,0.166945851,0.166945851
2013,Site 3,7,Glass,H,-3.558573298,-2.326934264,2.326944264,2.326944264,-1.231639034,0,0.00001,0.31841468,0.31842468,0.31842468
2013,Site 3,28,Glass,HP,-0.409031414,-1.994515084,1.994525084,1.994525084,1.58548367,1.58549367,1.58549367,0.101243502,0.101253502,0.101253502
2013,Site 3,29,Glass,HP,-1.717931937,-2.410039059,2.410049059,2.410049059,0.692107122,0.692117122,0.692117122,0.141740903,0.141750903,0.141750903
2013,Site 3,27,Glass,HP,-2.126963351,-2.202277071,2.202287071,2.202287071,0.075313721,0.075323721,0.075323721,0.214002487,0.214012487,0.214012487
2013,Site 3,21,Glass,N,-3.885798429,-2.534696252,2.534706252,2.534706252,-1.351102177,0,0.00001,,0,0.00001
2013,Site 3,19,Glass,N,-3.967604712,-2.617801047,2.617811047,2.617811047,-1.349803665,0,0.00001,0.150705977,0.150715977,0.150715977
2013,Site 3,18,Glass,N,-3.354057592,-2.160724674,2.160734674,2.160734674,-1.193332918,0,0.00001,0.153565526,0.153575526,0.153575526
2013,Site 3,17,Glass,N,-0.61354712,-1.038809939,1.038819939,1.038819939,0.425262819,0.425272819,0.425272819,0.171804814,0.171814814,0.171814814
2013,Site 3,20,Glass,N,-1.186191099,-1.745200698,1.745210698,1.745210698,0.559009599,0.559019599,0.559019599,0.233014626,0.233024626,0.233024626
2013,Site 3,32,Glass,NP,-2.454188482,-2.243829469,2.243839469,2.243839469,-0.210359013,0,0.00001,0.057654697,0.057664697,0.057664697
2013,Site 3,30,Glass,NP,-0.409031414,-1.662095903,1.662105903,1.662105903,1.253064489,1.253074489,1.253074489,0.143750317,0.143760317,0.143760317
2013,Site 3,34,Glass,NP,-4.090314136,-3.656610986,3.656620986,3.656620986,-0.43370315,0,0.00001,0.202487005,0.202497005,0.202497005
2013,Site 3,31,Glass,NP,2.167866492,-1.454333915,1.454343915,1.454343915,3.622200407,3.622210407,3.622210407,0.227991093,0.228001093,0.228001093
2013,Site 3,33,Glass,NP,-0.818062827,-2.202277071,2.202287071,2.202287071,1.384214244,1.384224244,1.384224244,0.255195454,0.255205454,0.255205454
2013,Site 3,12,Glass,P,-2.41328534,-2.036067481,2.036077481,2.036077481,-0.377217859,0,0.00001,,0,0.00001
2013,Site 3,15,Glass,P,-3.394960733,-2.285381867,2.285391867,2.285391867,-1.109578866,0,0.00001,0.089650735,0.089660735,0.089660735
2013,Site 3,14,Glass,P,-2.945026178,-1.745200698,1.745210698,1.745210698,-1.19982548,0,0.00001,0.100779792,0.100789792,0.100789792
2013,Site 3,16,Glass,P,-3.885798429,-2.202277071,2.202287071,2.202287071,-1.683521358,0,0.00001,0.142050044,0.142060044,0.142060044
2013,Site 3,13,Glass,P,0.490837696,-1.329676722,1.329686722,1.329686722,1.820514419,1.820524419,1.820524419,0.381015624,0.381025624,0.381025624
2011,Site 2,49,Glass,Ctl,-5.846422339,-4.27574171,4.27574171,4.27575171,-1.570680628,0,0.00001,0.106808031,0.106808031,0.106818031
2011,Site 2,46,Glass,Ctl,-4.013961606,-2.879581152,2.879581152,2.879591152,-1.134380454,0,0.00001,0.153874667,0.153874667,0.153884667
2011,Site 2,56,Glass,Ctl,-2.39965096,-2.617801047,2.617801047,2.617811047,0.218150087,0.218150087,0.218160087,0.176519206,0.176519206,0.176529206
2011,Site 2,24,Glass,Ctl,-2.705061082,-0.785340314,0.785340314,0.785350314,-1.919720768,0,0.00001,0.098847664,0.098847664,0.098857664
2011,Site 2,18,Glass,Ctl,-2.530541012,-0.261780105,0.261780105,0.261790105,-2.268760908,0,0.00001,0.06615606,0.06615606,0.06616606
2011,Site 2,50,Glass,H,-6.064572426,-2.530541012,2.530541012,2.530551012,-3.534031414,0,0.00001,0.097301962,0.097301962,0.097311962
2011,Site 2,51,Glass,H,-3.359511344,-2.39965096,2.39965096,2.39966096,-0.959860384,0,0.00001,0.122728765,0.122728765,0.122738765
2011,Site 2,41,Glass,H,-2.879581152,-2.094240838,2.094240838,2.094250838,-0.785340314,0,0.00001,0.169563545,0.169563545,0.169573545
2011,Site 2,4,Glass,H,-1.090750436,-1.963350785,1.963350785,1.963360785,0.872600349,0.872600349,0.872610349,0.084936343,0.084936343,0.084946343
2011,Site 2,21,Glass,H,-1.963350785,0.043630017,0,0.00001,-2.006980803,0,0.00001,0.250635632,0.250635632,0.250645632
2011,Site 2,31,Glass,HP,-0.305410122,-2.879581152,2.879581152,2.879591152,2.57417103,2.57417103,2.57418103,0.109281155,0.109281155,0.109291155
2011,Site 2,36,Glass,HP,-1.352530541,-1.527050611,1.527050611,1.527060611,0.17452007,0.17452007,0.17453007,0.351569994,0.351569994,0.351579994
2011,Site 2,52,Glass,HP,-2.923211169,-1.308900524,1.308900524,1.308910524,-1.614310646,0,0.00001,0.028440923,0.028440923,0.028450923
2011,Site 2,42,Glass,HP,-1.832460733,-1.265270506,1.265270506,1.265280506,-0.567190227,0,0.00001,1.642308723,1.642308723,1.642318723
2011,Site 2,33,Glass,N,-1.090750436,-3.097731239,3.097731239,3.097741239,2.006980803,2.006980803,2.006990803,0.145296019,0.145296019,0.145306019
2011,Site 2,37,Glass,N,-0.959860384,-0.610820244,0.610820244,0.610830244,-0.34904014,0,0.00001,1.853606232,1.853606232,1.853616232
2011,Site 2,5,Glass,N,-0.34904014,0.17452007,0,0.00001,-0.523560209,0,0.00001,0.194449353,0.194449353,0.194459353
2011,Site 2,27,Glass,N,-1.832460733,0.261780105,0,0.00001,-2.094240838,0,0.00001,0.233787477,0.233787477,0.233797477
2011,Site 2,25,Glass,N,-1.788830716,0.305410122,0,0.00001,-2.094240838,0,0.00001,0.445471411,0.445471411,0.445481411
2011,Site 2,58,Glass,NP,-0.523560209,-2.268760908,2.268760908,2.268770908,1.745200698,1.745200698,1.745210698,0.364090183,0.364090183,0.364100183
2011,Site 2,47,Glass,NP,-1.352530541,-1.919720768,1.919720768,1.919730768,0.567190227,0.567190227,0.567200227,0.18563885,0.18563885,0.18564885
2011,Site 2,30,Glass,NP,-1.178010471,-0.218150087,0.218150087,0.218160087,-0.959860384,0,0.00001,0.241979699,0.241979699,0.241989699
2011,Site 2,22,Glass,NP,-1.090750436,0,0,0.00001,-1.090750436,0,0.00001,0.277685423,0.277685423,0.277695423
2011,Site 2,23,Glass,NP,-2.181500873,0.17452007,0,0.00001,-2.356020942,0,0.00001,0.094751553,0.094751553,0.094761553
2011,Site 2,1,Glass,NP,0.34904014,1.221640489,0,0.00001,-0.872600349,0,0.00001,0.036014864,0.036014864,0.036024864
2011,Site 2,32,Glass,P,-1.308900524,-1.527050611,1.527050611,1.527060611,0.218150087,0.218150087,0.218160087,0.100393366,0.100393366,0.100403366
2011,Site 2,16,Glass,P,-1.265270506,0.261780105,0,0.00001,-1.527050611,0,0.00001,0.076821406,0.076821406,0.076831406
2011,Site 2,11,Glass,P,-0.523560209,0.305410122,0,0.00001,-0.828970332,0,0.00001,0.035242013,0.035242013,0.035252013
2011,Site 2,14,Glass,P,-1.439790576,0.392670157,0,0.00001,-1.832460733,0,0.00001,0.042815954,0.042815954,0.042825954
2011,Site 2,15,Glass,P,-1.788830716,1.134380454,0,0.00001,-2.923211169,0,0.00001,0.021253407,0.021253407,0.021263407
2013,Site 2,23,Glass,C,-5.027840106,-2.170859405,2.170869405,2.170869405,-2.856980701,0,0.00001,0.017721477,0.017731477,0.017731477
2013,Site 2,22,Glass,C,-8.268927117,-3.490401396,3.490411396,3.490411396,-4.778525721,0,0.00001,0.05000347,0.05001347,0.05001347
2013,Site 2,26,Glass,C,-5.443364082,-2.979610948,2.979620948,2.979620948,-2.463753134,0,0.00001,0.122342339,0.122352339,0.122352339
2013,Site 2,25,Glass,C,-4.861630516,-3.235006172,3.235016172,3.235016172,-1.626624344,0,0.00001,0.147305432,0.147315432,0.147315432
2013,Site 2,24,Glass,C,-5.81733566,-3.192440301,3.192450301,3.192450301,-2.624895359,0,0.00001,0.153951952,0.153961952,0.153961952
2013,Site 2,5,Glass,Ctl,-2.74245824,-1.745200698,1.745210698,1.745210698,-0.997257542,0,0.00001,0.144136742,0.144146742,0.144146742
2013,Site 2,4,Glass,Ctl,-1.53743871,-1.787766569,1.787776569,1.787776569,0.250327859,0.250337859,0.250337859,0.320733233,0.320743233,0.320743233
2013,Site 2,3,Glass,Ctl,0.207761988,-1.787766569,1.787776569,1.787776569,1.995528557,1.995538557,1.995538557,0.429705247,0.429715247,0.429715247
2013,Site 2,2,Glass,Ctl,-0.540181168,-2.043161793,2.043171793,2.043171793,1.502980624,1.502990624,1.502990624,0.535199431,0.535209431,0.535209431
2013,Site 2,6,Glass,Ctl,-1.20501953,-1.787766569,1.787776569,1.787776569,0.582747039,0.582757039,0.582757039,0.568045606,0.568055606,0.568055606
2013,Site 2,11,Glass,H,-2.326934264,-1.064146767,1.064156767,1.064156767,-1.262787497,0,0.00001,0.040806541,0.040816541,0.040816541
2013,Site 2,7,Glass,H,-1.038809939,-1.447239603,1.447249603,1.447249603,0.408429664,0.408439664,0.408439664,0.446553403,0.446563403,0.446563403
2013,Site 2,8,Glass,H,-1.994515084,-1.958030052,1.958040052,1.958040052,-0.036485032,0,0.00001,0.476076317,0.476086317,0.476086317
2013,Site 2,9,Glass,H,-1.911410288,-1.745200698,1.745210698,1.745210698,-0.16620959,0,0.00001,0.484036684,0.484046684,0.484046684
2013,Site 2,10,Glass,H,-1.288124325,-1.574937215,1.574947215,1.574947215,0.286812891,0.286822891,0.286822891,0.758862558,0.758872558,0.758872558
2013,Site 2,27,Glass,HP,-1.20501953,-0.59592219,0.59593219,0.59593219,-0.60909734,0,0.00001,0.03987912,0.03988912,0.03988912
2013,Site 2,29,Glass,HP,0.373971578,-1.149278508,1.149288508,1.149288508,1.523250087,1.523260087,1.523260087,0.187029982,0.187039982,0.187039982
2013,Site 2,30,Glass,HP,-0.083104795,-1.021580896,1.021590896,1.021590896,0.938476101,0.938486101,0.938486101,0.223276701,0.223286701,0.223286701
2013,Site 2,28,Glass,HP,-0.207761988,-0.979015026,0.979025026,0.979025026,0.771253038,0.771263038,0.771263038,0.328075319,0.328085319,0.328085319
2013,Site 2,16,Glass,N,-0.747943156,-0.212829353,0.212839353,0.212839353,-0.535113803,0,0.00001,0.018038346,0.018048346,0.018048346
2013,Site 2,14,Glass,N,-0.124657193,-0.553356319,0.553366319,0.553366319,0.428699126,0.428709126,0.428709126,0.259832561,0.259842561,0.259842561
2013,Site 2,12,Glass,N,-0.083104795,-0.553356319,0.553366319,0.553366319,0.470251524,0.470261524,0.470261524,0.399177626,0.399187626,0.399187626
2013,Site 2,13,Glass,N,0.332419181,-0.553356319,0.553366319,0.553366319,0.885775499,0.885785499,0.885785499,0.496479588,0.496489588,0.496489588
2013,Site 2,15,Glass,N,0.872600349,-0.63848806,0.63849806,0.63849806,1.511088409,1.511098409,1.511098409,0.552588582,0.552598582,0.552598582
2013,Site 2,70,Glass,NP,-0.955705144,-0.808751543,0.808761543,0.808761543,-0.146953601,0,0.00001,0.01692544,0.01693544,0.01693544
2013,Site 2,34,Glass,NP,0,-0.766185672,0.766195672,0.766195672,0.766185672,0.766195672,0.766195672,0.254809029,0.254819029,0.254819029
2013,Site 2,33,Glass,NP,0.831047951,-0.851317414,0.851327414,0.851327414,1.682365365,1.682375365,1.682375365,0.260450842,0.260460842,0.260460842
2013,Site 2,35,Glass,NP,1.495886313,-0.893883284,0.893893284,0.893893284,2.389769597,2.389779597,2.389779597,0.299479826,0.299489826,0.299489826
2013,Site 2,32,Glass,NP,1.412781517,-0.59592219,0.59593219,0.59593219,2.008703707,2.008713707,2.008713707,0.336499397,0.336509397,0.336509397
2013,Site 2,31,Glass,NP,0.914152747,-0.766185672,0.766195672,0.766195672,1.680338419,1.680348419,1.680348419,0.403660163,0.403670163,0.403670163
