Animal #,Photoperiod,Food,Injection,Baseline body mass (g),Week 1 body mass (g),Week 2 body mass (g),Week 3 body mass (g),Week 4 body mass (g),Week 5 body mass (g),Week 6 body mass (g),Baseline food intake (average daily) (g),Week 1 food intake (g),Week 2 food intake (g),Week 3 food intake (g),Week 4 food intake (g),Week 5 food intake (g),Week 6 food intake (g),Baseline Estimated Testis Volume (ETV) (mm^3),Week 1 ETV (mm^3),Week 2 ETV (mm^3),Week 3 ETV (mm^3),Week 4 ETV (mm^3),Week 5 ETV (mm^3),Week 6 ETV (mm^3),Final paired testes mass (g),Epididymal White Adipose Tissue (EWAT) mass (g),Baseline serum LH (ng/mL),Week 6 serum LH (ng/mL),Baseline serum Testosterone (ng/mL),Week 6 serum Testosterone (ng/mL)
60,ID,AL,Vehicle,38.5,38.3,38,38.1,35.5,36.8,36,3.6,35.2,25.1,25.2,23.2,28.2,28,1499.35,1567.40,1587.76,1630.49,1660.34,1277.00,1545.45,0.521,0.794,0.66,0.13,6.25,2.45
61,SD,FR,Vehicle,40.9,38.4,34.7,32.6,30.6,29.6,26.8,4.0,24.9,24.7,22.6,21,24.1,21.8,1627.55,1142.80,1270.25,1237.04,527.76,561.78,296.05,0.049,0.386,2.28,0.21,8.40,5.32
62,ID,FR,Vehicle,38.7,35,32.9,31.7,31.3,29.4,27.2,3.8,20.6,23.1,23.1,23.1,20.3,20.3,1677.41,1035.23,1411.86,1203.97,1044.91,1143.26,1033.09,0.539,0.279,0.035,0.16,9.84,4.77
63,SD,AL,Vehicle,35.9,36.9,35.7,33.3,32.1,29.2,28.9,3.9,35.5,32.2,23.6,29.7,25.1,28.1,1267.91,1281.61,1238.80,675.37,999.89,574.17,460.55,0.063,0.145,2.28,0.13,2.43,4.05
64,ID,AL,Vehicle,36.4,37.6,36.7,36.9,37,36.1,35.9,4.0,39.1,26.7,26.9,30.9,25.9,30.1,1472.08,1394.88,1344.58,1460.16,1459.24,1578.29,1375.44,0.449,0.806,1.31,0.24,11.92,2.10
65,ID,FR,Kisspeptin,37.6,35.6,34.2,32.8,31.8,29.7,27.8,4.3,23.8,23.8,23.8,23.8,21,21,1234.45,1290.94,1338.16,1290.73,855.46,812.76,570.59,0.384,0.235,0.87,0.063,2.69,2.75
66,SD,AL,Kisspeptin,36.9,37.2,37,35.5,35.7,34.5,31.9,4.4,35,31.4,29.3,31.2,26.7,24.5,1419.38,1108.96,921.37,988.67,1125.65,973.88,636.61,0.309,0.515,1.37,0.031,3.02,1.48
67,ID,AL,Kisspeptin,43.5,44,43.8,44.1,42.5,43,43.4,3.9,32.8,31.7,27.7,27.9,30.2,31.6,1413.65,1415.61,1499.71,1316.99,1555.66,1308.37,1329.70,0.731,0.782,1.79,0.06,4.75,4.16
68,SD,FR,Vehicle,47.2,45.6,44.6,42.3,40.9,39,36.7,4.7,27.2,28.1,23.9,24.8,23.9,22.1,1465.34,1531.31,1413.67,1401.43,1625.32,782.54,603.77,0.072,0.802,2.33,0.54,3.60,3.10
69,ID,FR,Vehicle,33.9,32.7,29.2,28.8,27.7,25.5,24.3,3.5,21,21,21,20.7,18.9,18.9,1026.58,633.71,765.53,975.96,714.49,514.12,365.69,0.155,0.246,2.21,0.92,11.40,6.95
70,SD,FR,Kisspeptin,41,38.7,36.4,34.5,33.7,31.8,28.9,4.4,23.4,27.1,23.6,24,23.9,22.1,1325.33,1351.82,1167.58,1224.30,839.04,432.96,671.09,0.065,0.279,0.46,0.065,3.51,1.62
72,SD,FR,Vehicle,38.6,35.8,34.6,32,30,27.2,25.2,4.5,22.4,27.6,23.8,24.4,23.9,22.1,1509.02,1009.79,1292.15,1214.99,946.14,611.22,440.85,0.066,0.172,2.15,0.19,6.38,3.84
73,ID,FR,Vehicle,36.2,33.6,32.8,32.5,31.3,30.5,28.1,4.1,21.4,24.5,24.5,23.6,21.7,21.7,1594.46,1530.22,1310.74,1288.97,1308.67,929.15,599.88,0.322,0.423,2.28,1.06,2.90,0.95
76,SD,FR,Vehicle,37.5,36.3,34.1,32.6,30.5,27.7,25.9,3.8,23.8,23.8,22.5,19.4,19.1,19.5,1537.10,1405.44,1026.14,1043.84,1103.19,609.69,754.95,0.039,0.276,0.52,0.056,5.13,5.27
77,ID,FR,Kisspeptin,47.1,46.6,45.4,44.8,40,38.1,37.2,5.4,33.6,33.6,32.4,23.6,29.3,30.1,1977.92,1799.78,1821.74,1375.47,1603.44,1309.66,1320.82,0.679,0.803,0.76,0.035,10.82,3.81
78,SD,AL,Kisspeptin,34,34,32.9,31.3,29.7,28.3,26.8,4.5,33.4,31.9,23.9,26.4,24.2,24.5,1462.19,1352.07,1325.24,997.17,884.55,523.67,541.83,0.043,0.156,2.21,0.06,5.40,1.43
79,SD,AL,Vehicle,42.6,41.9,40.8,39.8,36.4,34.2,31.2,4.3,29.6,30.3,27.4,23.6,21,18.8,1540.03,1724.27,1758.46,1429.84,1178.43,868.14,684.94,0.057,0.337,1.11,0.094,6.61,6.86
80,ID,AL,Kisspeptin,38.2,38.5,37.8,36.5,35.6,35.8,35.6,4.1,32.9,25.8,25.7,26.1,29.9,29.2,1331.71,1513.82,1497.95,1404.89,1349.68,1437.87,1306.29,0.472,0.833,0.18,0.035,4.31,6.82
81,SD,FR,Kisspeptin,33.3,28.8,26.5,25.4,24.7,23.7,21.4,4.4,22.4,26.3,24.4,23.8,23.1,21.8,1521.32,1098.62,854.84,279.41,335.82,301.60,288.29,0.043,0.047,0.13,0.035,3.37,1.62
