site,site.dist,carcasses,date,Manta.time,discharge,Temp_deg_C,Turb_NTU,Chl_ug.l,HDO_mg.l,HDO_.Sat,SpCond_uS.cm,SpCond_mS.cm,Salinity_PSS,TDS_mg.l,pH_units,pH_mV,Int_Batt_V,BP_mmHg,Sample.Time,DOC.mgL,DOC.Flux.kgd,NO3.ugL,NO3.Flux.kgd,PO4.ugL,PO4.Flux.kgd,NH4.ugL,NH4.Flux.kgd,TDN.mgL,TDP.ugL,TN.mgL,TN.ugL,TN.Flux.kgd,TP.ugL,TP.Flux.kgd,TSS.mgL,TSS.flux.kgd,AFDM.mgL,AFDM.flux.kgd,Org.pct,Chl.ugL,CPOM.mgL,CPOM.flux.kgd
Site 3,125,y,7/22/2011,17:30,8.67,23.12,174.2,1.85,6,83.5,92.3,0.092,0.04,59,7.08,2.28,8.35,642,17:00,3.66,2741.66208,990,741.59712,31.7,23.7460896,177.13,132.6859574,1.31,70.74,1.85,,1385.8128,152.51,114.2434109,192.21,143982.2045,29.39,22015.69632,0.15,3.50755,,
Site 3,125,y,7/30/2011,18:15,14.52,23.85,267.9,2.35,5.59,78.8,97.7,0.097,0.05,62.5,7,6.83,7.93,642,18:15,3.13,3926.67264,940,1179.25632,19.4,24.3378432,257.52,323.0660506,1.35,59.27,1.93,,2421.23904,139.15,174.5675712,321.67,403544.0218,47.15,59150.9952,0.15,3.186,,
Site 3,125,y,8/9/2011,12:30,10.2,21.69,267.4,2.27,6.27,84.8,80.3,0.08,0.04,51.4,6.98,7.57,8.3,642,12:30,3.25,2864.16,890,784.3392,26.3,23.177664,102.45,90.287136,1.19,52.27,1.79,,1577.4912,142.24,125.3532672,317.76,280035.5328,47.2,41596.416,0.15,5.7997,,
Site 3,125,y,8/16/2011,6:30,21.44,20.17,1011,2.63,6.05,79.5,126.2,0.126,0.06,80.7,7.04,4.38,7.96,642,13:30,3.24,6001.82784,850,1574.5536,26.8,49.6447488,,,1.16,43.88,2.79,,5168.24064,172.09,318.7822694,980,1815367.68,135.7,251372.8512,0.14,5.69645,,
Site 3,125,n,7/4/2012,13:30,20,20.47,350.1,9.15,7.04,92.8,118.2,0.118,0.05,75.6,7.3,-2.13,8.88,643,13:30,2.97,5132.16,802.7,1387.0656,13.49,23.31072,,,,,1.37,,2367.36,192.07,331.89696,431.1,744940.8,53.02,91618.56,0.12,3.075375,,
Site 3,125,n,7/19/2012,16:30,15.19,21.06,205,5.9,6.98,93.1,103.4,0.103,0.05,66.2,7.75,-27.62,7.57,643,16:30,2.66,3491.02656,1018.2,1336.301971,23.5,30.841776,20.57,26.99639712,,,1.07,,1404.28512,163.07,214.0156771,212.93,279452.7389,30.2,39634.9632,0.14,8.0535,12.37944151,16246.97711
Site 3,125,n,7/28/2012,12:00,11.22,20.89,170.9,6.17,6.68,88.8,118.2,0.118,0.05,75.6,7.21,3.25,7.21,643,12:15,3.05,2956.6944,965.25,935.721072,25.04,24.27397632,35.93,34.83082944,,,1.39,,1347.47712,167.22,162.1044058,,,,,,1.70805,1.833324914,1777.239838
Site 3,125,n,8/21/2012,14:00,9.15,22.84,134.1,3.73,6.51,89.9,111.9,0.111,0.05,71.6,7.06,-27.01,7.71,643,14:00,2.3,1818.880479,922.9,729.8455626,30.71,24.28600848,37.34,29.52912917,,,0.98,,775.0012475,142.36,112.5807935,183.9466667,145468.2614,27.27,21565.59594,0.15,2.730225,3.158170399,2497.536734
Site 3,125,y,9/19/2012,12:45,24.93,21.51,231.3,3.95,6.98,93.9,71.1,0.071,0.03,45.5,6.5,13.08,7.27,643,14:00,2.36,5083.32672,1017.92,2192.55082,20.54,44.24217408,,,,,1.35,,2907.8352,146.55,315.6616656,317.46,683793.6019,32.85,70757.3232,0.1,3.969225,6.983428489,15041.96976
Site 3,125,y,10/4/2012,13:00,9.07,23.25,131.6,8.76,6.53,90.9,100.2,0.1,0.05,64.1,6.42,5.57,8.64,643,13:00,2.83,2217.72384,1124.55,881.2513584,32.22,25.24913856,,,,,1.33,,1042.25184,112.21,87.93314208,177.42,139034.8282,23.81,18658.65888,0.13,2.34525,,
